ESTADO,MODALIDAD,CLUB
"AGUASCALIENTES","RECORRIDOS DE CAZA","Club de Tiro y Cinegético Esparta, A.C."
"AGUASCALIENTES","SILUETAS METALICAS","Club de Tiro y Cinegético Esparta, A.C."
"BAJA CALIFORNIA","RECORRIDOS DE CAZA","Club de Tiro, Caza y Pesca Berrendo, A.C."
"BAJA CALIFORNIA","SILUETAS METALICAS","Club Cinegético Jabalí, A.C."
"BAJA CALIFORNIA","SILUETAS METALICAS","Club Deportivo Safari de El Sauzal, A.C."
"BAJA CALIFORNIA","SILUETAS METALICAS","Club Tiro y Caza 30-30, A.C."
"BAJA CALIFORNIA","SILUETAS METALICAS","Club de Caza, Tiro y Pesca Guadalupe Victoria, A.C."
"BAJA CALIFORNIA","SILUETAS METALICAS","Club de Tiro y Caza Panteras, A.C."
"BAJA CALIFORNIA","SILUETAS METALICAS","Club de Tiro, Caza y Pesca Berrendo, A.C."
"BAJA CALIFORNIA","SILUETAS METALICAS","Club de Tiro, Caza y Pesca Cimarrones, A.C."
"BAJA CALIFORNIA","TIRO NEUMATICO","Club Deportivo Safari de El Sauzal, A.C."
"BAJA CALIFORNIA","TIRO OLIMPICO","Club Deportivo Safari de El Sauzal, A.C."
"BAJA CALIFORNIA","TIRO OLIMPICO","Club de Tiro y Caza Panteras, A.C."
"BAJA CALIFORNIA","TIRO OLIMPICO","Club de Tiro, Caza y Pesca Berrendo, A.C."
"BAJA CALIFORNIA","TIRO OLIMPICO","Club de Tiro, Caza y Pesca Cimarrones, A.C."
"BAJA CALIFORNIA","TIRO OLIMPICO","Club de Tiro, Caza y Pesca Faisanes, A.C."
"BAJA CALIFORNIA","TIRO PRACTICO","Club Cinegético Jabalí, A.C."
"BAJA CALIFORNIA","TIRO PRACTICO","Club Deportivo Safari de El Sauzal, A.C."
"BAJA CALIFORNIA","TIRO PRACTICO","Club de Tiro, Caza y Pesca Berrendo, A.C."
"BAJA CALIFORNIA","TIRO PRACTICO","Club de Tiro, Caza y Pesca Cóndor de Tijuana, A.C."
"BAJA CALIFORNIA SUR","SILUETAS METALICAS","Club de Caza, Tiro y Pesca Los Choyeros, A.C."
"BAJA CALIFORNIA SUR","SILUETAS METALICAS","Club de Caza, Tiro y Pesca del Valle de Santo Domingo, A.C."
"CHIAPAS","RECORRIDOS DE CAZA","Club de Tiro Olímpico Chiapaneco, A.C."
"CHIAPAS","RECORRIDOS DE CAZA","Club de Tiro, Caza y Pesca Halcones, A.C."
"CHIAPAS","SILUETAS METALICAS","Club Deportivo de Tiro, Caza y Pesca Jaguares, A.C."
"CHIAPAS","SILUETAS METALICAS","Club de Caza, Tiro y Pesca Los Choyeros, A.C."
"CHIAPAS","SILUETAS METALICAS","Club de Tiro Chiapas, A.C."
"CHIAPAS","SILUETAS METALICAS","Club de Tiro Olímpico Chiapaneco, A.C."
"CHIAPAS","SILUETAS METALICAS","Club de Tiro, Caza y Pesca Halcones, A.C."
"CHIAPAS","TIRO OLIMPICO","Club Deportivo de Tiro, Caza y Pesca Jaguares, A.C."
"CHIAPAS","TIRO OLIMPICO","Club de Tiro Chiapas, A.C."
"CHIAPAS","TIRO OLIMPICO","Club de Tiro Olímpico Chiapaneco, A.C."
"CHIAPAS","TIRO OLIMPICO","Club de Tiro, Caza y Pesca Halcones, A.C."
"CHIAPAS","TIRO PRACTICO","Club Deportivo de Tiro, Caza y Pesca Jaguares, A.C."
"CHIAPAS","TIRO PRACTICO","Club de Tiro Olímpico Chiapaneco, A.C."
"CHIAPAS","TIRO PRACTICO","Club de Tiro, Caza y Pesca Halcones, A.C."
"CHIHUAHUA","SILUETAS METALICAS","Club 30-06 Cazadores de Chihuahua “José Seijas Caro”, A.C."
"CHIHUAHUA","SILUETAS METALICAS","Club Cazadores y Tiradores de Chihuahua, A.C."
