MODALIDAD,TIPO_ARMA,CALIBRES,ESTADO,FECHA,AÑO,MES_NUM,MES,CLUB,LUGAR
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-01-03,2026,1,Enero,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-01-10,2026,1,Enero,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-01-17,2026,1,Enero,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-01-24,2026,1,Enero,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-01-31,2026,1,Enero,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-02-07,2026,2,Febrero,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-02-14,2026,2,Febrero,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-02-21,2026,2,Febrero,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-02-28,2026,2,Febrero,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-03-07,2026,3,Marzo,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-03-14,2026,3,Marzo,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-03-21,2026,3,Marzo,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
BLANCOS EN MOVIMIENTO,Escopeta,"12, 20, .410",COAHUILA,2026-03-28,2026,3,Marzo,Club Cinegetico Saltillo Safari AC,"Saltillo, Coah."
